date,stock_id,country,revenue,revenue_month,revenue_year,ym,revenue_mom,revenue_yoy
2024-10-01,2308,Taiwan,37094029000,9,2024,2024-09,,
2024-11-01,2308,Taiwan,38816849000,10,2024,2024-10,0.04644467172870326,
2024-12-01,2308,Taiwan,36647082000,11,2024,2024-11,-0.05589755623904458,
2025-01-01,2308,Taiwan,38738552000,12,2024,2024-12,0.05707057385905934,
2025-02-01,2308,Taiwan,37385532000,1,2025,2025-01,-0.034926963713047376,
2025-03-01,2308,Taiwan,38089875000,2,2025,2025-02,0.018839988688672316,
2025-04-01,2308,Taiwan,43443999000,3,2025,2025-03,0.14056554399299026,
2025-05-01,2308,Taiwan,40782164000,4,2025,2025-04,-0.061270487553413355,
2025-06-01,2308,Taiwan,41044766000,5,2025,2025-05,0.006439138442972281,
2025-07-01,2308,Taiwan,42208156000,6,2025,2025-06,0.028344417897278262,
2025-08-01,2308,Taiwan,45397038000,7,2025,2025-07,0.07555132235580242,
2025-09-01,2308,Taiwan,47859758000,8,2025,2025-08,0.054248473215366966,
2024-10-01,2344,Taiwan,7231483000,9,2024,2024-09,,
2024-11-01,2344,Taiwan,6097945000,10,2024,2024-10,-0.15675042034946363,
2024-12-01,2344,Taiwan,6221805000,11,2024,2024-11,0.02031176076530694,
2025-01-01,2344,Taiwan,6372253000,12,2024,2024-12,0.0241807642637466,
2025-02-01,2344,Taiwan,6066312000,1,2025,2025-01,-0.048011433318796315,
2025-03-01,2344,Taiwan,6353503000,2,2025,2025-02,0.04734194350702703,
2025-04-01,2344,Taiwan,7572802000,3,2025,2025-03,0.19190972287256347,
2025-05-01,2344,Taiwan,6819077000,4,2025,2025-04,-0.09953053044302496,
2025-06-01,2344,Taiwan,7093516000,5,2025,2025-05,0.0402457693321252,
2025-07-01,2344,Taiwan,7105364000,6,2025,2025-06,0.0016702577396032758,
2025-08-01,2344,Taiwan,6837785000,7,2025,2025-07,-0.03765873219162308,
2025-09-01,2344,Taiwan,7012528000,8,2025,2025-08,0.025555497869558685,
2024-10-01,2379,Taiwan,9829641000,9,2024,2024-09,,
2024-11-01,2379,Taiwan,8947322000,10,2024,2024-10,-0.08976106044971532,
2024-12-01,2379,Taiwan,8722055000,11,2024,2024-11,-0.02517703062435883,
2025-01-01,2379,Taiwan,8675245000,12,2024,2024-12,-0.005366854485554184,
2025-02-01,2379,Taiwan,11868702000,1,2025,2025-01,0.3681114481493031,
2025-03-01,2379,Taiwan,11321090000,2,2025,2025-02,-0.04613916500726023,
2025-04-01,2379,Taiwan,11832604000,3,2025,2025-03,0.045182398514630684,
2025-05-01,2379,Taiwan,11430305000,4,2025,2025-04,-0.0339991940911738,
2025-06-01,2379,Taiwan,10276326000,5,2025,2025-05,-0.10095784845636224,
2025-07-01,2379,Taiwan,10207732000,6,2025,2025-06,-0.006674953675078088,
2025-08-01,2379,Taiwan,9729539000,7,2025,2025-07,-0.04684615544373616,
2025-09-01,2379,Taiwan,9727390000,8,2025,2025-08,-0.000220873774184005,
2024-10-01,2383,Taiwan,5940565000,9,2024,2024-09,,
2024-11-01,2383,Taiwan,5817800000,10,2024,2024-10,-0.020665542755613275,
2024-12-01,2383,Taiwan,6336270000,11,2024,2024-11,0.08911787961084938,
2025-01-01,2383,Taiwan,6410246000,12,2024,2024-12,0.011675007535979276,
2025-02-01,2383,Taiwan,6986221000,1,2025,2025-01,0.08985224592004748,
2025-03-01,2383,Taiwan,7029925000,2,2025,2025-02,0.006255742553807009,
2025-04-01,2383,Taiwan,7668109000,3,2025,2025-03,0.09078105385192581,
2025-05-01,2383,Taiwan,7191345000,4,2025,2025-04,-0.06217491170248102,
2025-06-01,2383,Taiwan,7277046000,5,2025,2025-05,0.011917242184876331,
2025-07-01,2383,Taiwan,8035115000,6,2025,2025-06,0.10417262718965903,
2025-08-01,2383,Taiwan,8372495000,7,2025,2025-07,0.041988198053170445,
2025-09-01,2383,Taiwan,8764793000,8,2025,2025-08,0.046855566948681426,
2024-10-01,2454,Taiwan,44675936000,9,2024,2024-09,,
2024-11-01,2454,Taiwan,51117348000,10,2024,2024-10,0.14418079567487974,
2024-12-01,2454,Taiwan,45242346000,11,2024,2024-11,-0.11493166664279997,
2025-01-01,2454,Taiwan,41683430000,12,2024,2024-12,-0.0786633831941429,
2025-02-01,2454,Taiwan,51144288000,1,2025,2025-01,0.2269692777201877,
2025-03-01,2454,Taiwan,46171723000,2,2025,2025-02,-0.09722620441993446,
2025-04-01,2454,Taiwan,55996226000,3,2025,2025-03,0.21278181453180767,
2025-05-01,2454,Taiwan,48754424000,4,2025,2025-04,-0.12932660854679745,
2025-06-01,2454,Taiwan,45180526000,5,2025,2025-05,-0.07330407595421495,
2025-07-01,2454,Taiwan,56433621000,6,2025,2025-06,0.24906958807872215,
2025-08-01,2454,Taiwan,43220164000,7,2025,2025-07,-0.23414157670300828,
2025-09-01,2454,Taiwan,44546643000,8,2025,2025-08,0.030691207002361276,
2024-10-01,3035,Taiwan,942900000,9,2024,2024-09,,
2024-11-01,3035,Taiwan,930020000,10,2024,2024-10,-0.013659985152190024,
2024-12-01,3035,Taiwan,920566000,11,2024,2024-11,-0.010165372787682037,
2025-01-01,3035,Taiwan,1102209000,12,2024,2024-12,0.19731665084306838,
2025-02-01,3035,Taiwan,1118120000,1,2025,2025-01,0.014435556232982982,
2025-03-01,3035,Taiwan,2836864000,2,2025,2025-02,1.5371731120094445,
2025-04-01,3035,Taiwan,3482593000,3,2025,2025-03,0.22762071075666657,
2025-05-01,3035,Taiwan,1700007000,4,2025,2025-04,-0.5118559647940486,
2025-06-01,3035,Taiwan,1692458000,5,2025,2025-05,-0.004440569950594275,
2025-07-01,3035,Taiwan,1119392000,6,2025,2025-06,-0.3385998352691766,
2025-08-01,3035,Taiwan,965824000,7,2025,2025-07,-0.137188759612361,
2025-09-01,3035,Taiwan,911390000,8,2025,2025-08,-0.05636016499900598,
2024-10-01,3293,Taiwan,1581696000,9,2024,2024-09,,
2024-11-01,3293,Taiwan,1680390000,10,2024,2024-10,0.062397578295702916,
2024-12-01,3293,Taiwan,1671405000,11,2024,2024-11,-0.00534697302411935,
2025-01-01,3293,Taiwan,1710380000,12,2024,2024-12,0.02331870492190702,
2025-02-01,3293,Taiwan,1750233000,1,2025,2025-01,0.0233006700265439,
2025-03-01,3293,Taiwan,1747288000,2,2025,2025-02,-0.00168263311227701,
2025-04-01,3293,Taiwan,1861721000,3,2025,2025-03,0.06549177926020211,
2025-05-01,3293,Taiwan,1850564000,4,2025,2025-04,-0.005992842106846252,
2025-06-01,3293,Taiwan,1897035000,5,2025,2025-05,0.025111803752801753,
2025-07-01,3293,Taiwan,1848796000,6,2025,2025-06,-0.025428629413795756,
2025-08-01,3293,Taiwan,1770942000,7,2025,2025-07,-0.04211064930906383,
2025-09-01,3293,Taiwan,1817575000,8,2025,2025-08,0.026332313537089203,
2024-10-01,3535,Taiwan,2078000,9,2024,2024-09,,
2024-11-01,3535,Taiwan,1647000,10,2024,2024-10,-0.20741097208854664,
2024-12-01,3535,Taiwan,64667000,11,2024,2024-11,38.26350941105039,
2025-01-01,3535,Taiwan,7965000,12,2024,2024-12,-0.8768305318013825,
2025-02-01,3535,Taiwan,1585000,1,2025,2025-01,-0.8010043942247332,
2025-03-01,3535,Taiwan,2654000,2,2025,2025-02,0.6744479495268139,
2025-04-01,3535,Taiwan,46670000,3,2025,2025-03,16.58477769404672,
2025-05-01,3535,Taiwan,20319000,4,2025,2025-04,-0.5646239554317549,
2025-06-01,3535,Taiwan,4751000,5,2025,2025-05,-0.7661794379644667,
2025-07-01,3535,Taiwan,27973000,6,2025,2025-06,4.887813091980636,
2025-08-01,3535,Taiwan,4520000,7,2025,2025-07,-0.8384156150573767,
2025-09-01,3535,Taiwan,19989000,8,2025,2025-08,3.422345132743363,
2024-10-01,6231,Taiwan,197351000,9,2024,2024-09,,
2024-11-01,6231,Taiwan,117990000,10,2024,2024-10,-0.4021312281164018,
2024-12-01,6231,Taiwan,118683000,11,2024,2024-11,0.005873379099923692,
2025-01-01,6231,Taiwan,190904000,12,2024,2024-12,0.6085201755938088,
2025-02-01,6231,Taiwan,116494000,1,2025,2025-01,-0.3897770607216192,
2025-03-01,6231,Taiwan,107590000,2,2025,2025-02,-0.07643312101910826,
2025-04-01,6231,Taiwan,182894000,3,2025,2025-03,0.6999163491030764,
2025-05-01,6231,Taiwan,108389000,4,2025,2025-04,-0.407367108817129,
2025-06-01,6231,Taiwan,119956000,5,2025,2025-05,0.10671747133011644,
2025-07-01,6231,Taiwan,176004000,6,2025,2025-06,0.46723798726199606,
2025-08-01,6231,Taiwan,108248000,7,2025,2025-07,-0.384968523442649,
2025-09-01,6231,Taiwan,131575000,8,2025,2025-08,0.21549589830759008,
2024-10-01,6643,Taiwan,141653000,9,2024,2024-09,,
2024-11-01,6643,Taiwan,69367000,10,2024,2024-10,-0.5103033469111138,
2024-12-01,6643,Taiwan,127544000,11,2024,2024-11,0.8386841005088874,
2025-01-01,6643,Taiwan,130666000,12,2024,2024-12,0.02447782725961245,
2025-02-01,6643,Taiwan,112660000,1,2025,2025-01,-0.13780172347818098,
2025-03-01,6643,Taiwan,161885000,2,2025,2025-02,0.4369341381146814,
2025-04-01,6643,Taiwan,159980000,3,2025,2025-03,-0.011767612811563799,
2025-05-01,6643,Taiwan,129028000,4,2025,2025-04,-0.1934741842730341,
2025-06-01,6643,Taiwan,155823000,5,2025,2025-05,0.20766810304740058,
2025-07-01,6643,Taiwan,163871000,6,2025,2025-06,0.05164834459611223,
2025-08-01,6643,Taiwan,128183000,7,2025,2025-07,-0.2177810594919174,
2025-09-01,6643,Taiwan,101885000,8,2025,2025-08,-0.20515981058330668,
2024-10-01,8358,Taiwan,581631000,9,2024,2024-09,,
2024-11-01,8358,Taiwan,523004000,10,2024,2024-10,-0.10079758472296008,
2024-12-01,8358,Taiwan,560077000,11,2024,2024-11,0.0708847351071884,
2025-01-01,8358,Taiwan,623365000,12,2024,2024-12,0.11299874838638257,
2025-02-01,8358,Taiwan,562253000,1,2025,2025-01,-0.09803566128993446,
2025-03-01,8358,Taiwan,563028000,2,2025,2025-02,0.0013783830410865061,
2025-04-01,8358,Taiwan,602680000,3,2025,2025-03,0.07042633758889427,
2025-05-01,8358,Taiwan,663276000,4,2025,2025-04,0.10054423574699678,
2025-06-01,8358,Taiwan,666236000,5,2025,2025-05,0.004462697278357686,
2025-07-01,8358,Taiwan,671218000,6,2025,2025-06,0.007477830678618291,
2025-08-01,8358,Taiwan,651296000,7,2025,2025-07,-0.029680372099675556,
2025-09-01,8358,Taiwan,661352000,8,2025,2025-08,0.01543998427750215,
2024-10-01,8932,Taiwan,154098000,9,2024,2024-09,,
2024-11-01,8932,Taiwan,135514000,10,2024,2024-10,-0.12059858012433644,
2024-12-01,8932,Taiwan,141028000,11,2024,2024-11,0.0406895228537274,
2025-01-01,8932,Taiwan,164936000,12,2024,2024-12,0.1695266188274669,
2025-02-01,8932,Taiwan,152904000,1,2025,2025-01,-0.07294950768783048,
2025-03-01,8932,Taiwan,147528000,2,2025,2025-02,-0.03515931564903474,
2025-04-01,8932,Taiwan,217723000,3,2025,2025-03,0.4758079822135459,
2025-05-01,8932,Taiwan,199409000,4,2025,2025-04,-0.08411605572217906,
2025-06-01,8932,Taiwan,183358000,5,2025,2025-05,-0.0804928563906343,
2025-07-01,8932,Taiwan,251380000,6,2025,2025-06,0.3709791773470479,
2025-08-01,8932,Taiwan,173603000,7,2025,2025-07,-0.309400111385154,
2025-09-01,8932,Taiwan,182933000,8,2025,2025-08,0.05374331088748474,
