date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2025-07-07,3037,1476,10,382419,1164,26578,26276,X ,0,6,4,382419,0,0,10
2025-07-08,3037,781,8,382419,872,26479,26578,X ,0,0,0,382419,0,0,0
2025-07-09,3037,2558,8,382419,4325,24704,26479, ,0,0,0,382419,0,0,0
2025-07-10,3037,2649,1,382419,2876,24476,24704, ,1225,0,0,382419,428,428,0
2025-07-11,3037,1103,10,382419,1462,24107,24476, ,302,94,0,382419,31,365,428
2025-07-14,3037,1552,28,382419,933,24698,24107, ,10,272,0,382419,71,164,365
2025-07-15,3037,4715,11,382419,3613,25789,24698, ,85,15,0,382419,1088,1237,164
2025-07-16,3037,8293,1,382419,4783,29298,25789, ,381,218,0,382419,1111,2130,1237
2025-07-17,3037,3780,5,382419,3426,29647,29298, ,72,914,0,382419,88,1304,2130
2025-07-18,3037,1800,16,382419,1681,29750,29647, ,53,163,1,382419,83,1223,1304
2025-07-21,3037,1963,1,382419,1123,30589,29750, ,6,171,0,382419,82,1134,1223
2025-07-22,3037,2375,24,382419,3651,29289,30589, ,18,484,0,382419,394,1044,1134
2025-07-23,3037,2610,4,382419,2196,29699,29289, ,20,204,0,382419,247,1087,1044
2025-07-24,3037,1721,6,382419,826,30588,29699, ,5,76,0,382419,139,1150,1087
2025-07-25,3037,1819,3,382419,1898,30506,30588, ,12,195,0,382419,44,999,1150
2025-07-28,3037,956,5,382419,1565,29892,30506, ,5,77,2,382419,67,987,999
2025-07-29,3037,7617,6,382419,6180,31323,29892, ,67,125,1,382419,589,1450,987
2025-07-30,3037,2546,11,382419,4414,29444,31323, ,26,393,0,382419,213,1270,1450
2025-07-31,3037,3234,6,382419,3688,28984,29444, ,16,241,5,382419,47,1071,1270
2025-08-01,3037,987,4,382419,2733,27234,28984, ,10,56,2,382419,259,1272,1071
2025-08-04,3037,1314,0,382419,1010,27538,27234, ,4,248,0,382419,64,1088,1272
2025-08-05,3037,894,37,382419,1491,26904,27538, ,1,33,0,382419,119,1174,1088
2025-08-06,3037,573,10,382419,1587,25880,26904, ,3,75,3,382419,63,1159,1174
2025-08-07,3037,1316,4,382419,1261,25931,25880, ,16,123,1,382419,132,1167,1159
2025-08-08,3037,3805,17,382419,1108,28611,25931, ,9,21,0,382419,40,1186,1167
2025-08-11,3037,2847,6,382419,2639,28813,28611, ,28,139,0,382419,204,1251,1186
2025-08-12,3037,1336,2,382419,1556,28591,28813, ,5,123,0,382419,21,1149,1251
2025-08-13,3037,993,103,382419,1646,27835,28591, ,12,143,0,382419,59,1065,1149
2025-08-14,3037,2264,11,382419,1470,28618,27835, ,5,26,1,382419,86,1124,1065
2025-08-15,3037,1708,8,382419,1260,29058,28618, ,3,83,0,382419,18,1059,1124
2025-08-18,3037,3213,6,382419,2804,29461,29058, ,20,92,0,382419,378,1345,1059
2025-08-19,3037,2172,5,382419,3048,28580,29461, ,7,116,0,382419,34,1263,1345
2025-08-20,3037,1662,1,382419,1010,29231,28580, ,11,256,0,382419,88,1095,1263
2025-08-21,3037,792,3,382419,628,29392,29231, ,19,119,1,382419,92,1067,1095
2025-08-22,3037,488,4,382419,506,29370,29392, ,17,18,0,382419,86,1135,1067
2025-08-25,3037,1757,6,382419,2024,29097,29370, ,8,70,1,382419,107,1171,1135
2025-08-26,3037,3908,2,382419,2716,30287,29097, ,25,58,0,382419,116,1229,1171
2025-08-27,3037,6059,15,382419,6992,29339,30287, ,38,105,0,382419,473,1597,1229
2025-08-28,3037,2682,12,382419,3454,28555,29339, ,68,138,0,382419,71,1530,1597
2025-08-29,3037,3240,12,382419,4336,27447,28555, ,11,361,0,382419,19,1188,1530
2025-09-01,3037,2538,13,382419,4580,25392,27447, ,9,291,0,382419,211,1108,1188
2025-09-02,3037,1462,13,382419,1128,25713,25392, ,11,154,0,382419,153,1107,1108
2025-09-03,3037,590,11,382419,618,25674,25713, ,3,54,0,382419,83,1136,1107
2025-09-04,3037,2078,6,382419,654,27092,25674, ,3,94,0,382419,87,1129,1136
2025-09-05,3037,1251,8,382419,579,27756,27092, ,12,228,0,382419,26,927,1129
2025-09-08,3037,1680,137,382419,551,28748,27756, ,1,55,0,382419,79,951,927
2025-09-09,3037,393,21,382419,681,28439,28748, ,0,58,1,382419,32,924,951
2025-09-10,3037,1627,4,382419,2187,27875,28439, ,4,105,30,382419,314,1103,924
2025-09-11,3037,2966,1,382416,2095,28745,27875, ,40,62,0,382416,117,1158,1103
2025-09-12,3037,1946,1,382416,3971,26719,28745, ,15,30,0,382416,133,1261,1158
2025-09-15,3037,329,0,382416,514,26534,26719, ,8,97,0,382416,55,1219,1261
2025-09-16,3037,3715,21,382416,2851,27377,26534, ,27,158,0,382416,446,1507,1219
2025-09-17,3037,1273,4,382416,2770,25876,27377, ,4,206,0,382416,20,1321,1507
2025-09-18,3037,2652,3,382416,1281,27244,25876, ,6,60,1,382416,34,1294,1321
2025-09-19,3037,5400,33,382416,3698,28913,27244, ,60,78,3,382416,432,1645,1294
2025-09-22,3037,1696,2,382416,1557,29050,28913, ,17,74,1,382416,247,1817,1645
2025-09-23,3037,1747,1,382416,4939,25857,29050, ,16,62,0,382416,215,1970,1817
