date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2023-08-05,2492,111年,0.0,0.0,,0.0,0.0,0.0,0.0,2.40495045,0.0,2023-07-28,2023-08-16,0.0,0.0,0.0,0.0,0.0,484804299.0,2023-07-13,15:27:50
2024-07-16,2492,112年,0.0,0.0,,0.0,0.0,0.0,0.0,2.15443267,0.0,2024-07-10,2024-08-01,0.0,0.0,0.0,0.0,0.0,484804774.0,2024-06-25,16:46:51
2025-07-15,2492,113年,0.0,0.0,,0.0,0.0,0.0,0.0,2.40495045,0.0,2025-07-09,2025-07-25,0.0,0.0,0.0,0.0,0.0,484804774.0,2025-06-24,15:33:29
